feature,delta_RMSE,accuracy_drop,is_sentiment_feature
sent_prop_negative,189.37115054442825,0.008888888888888901,True
price_to_ma_7,160.18461707882983,-0.008888888888888868,False
sent_prop_neutral,153.55015390055627,0.0022222222222222365,True
price_to_ma_14,46.29830534126008,-0.011111111111111072,False
ma_7,36.085167192437076,0.0,False
log_return_1d,32.11315841674741,0.004444444444444462,False
sent_prop_positive,25.318435271708495,-0.0022222222222222144,True
volume_ma_7,25.21795494710809,0.0,False
log_return_7d,21.483125694073305,0.011111111111111117,False
sent_median,18.30454805061231,0.0,True
news_count,12.219549587704615,0.0022222222222222365,True
price_to_ma_30,10.470184812735942,0.0,False
sent_std,10.235827471805077,0.006666666666666677,True
has_news,0.0,0.0,True
rsi_14,-1.1468065967309484,0.0022222222222222253,False
volume_change_1d,-2.445258968739927,-0.04444444444444442,False
sent_mean,-10.911651009420302,0.006666666666666677,True
volatility_14,-18.330793799840375,-0.0022222222222222144,False
ma_14,-20.598062056132314,0.011111111111111127,False
volatility_7,-21.538987972474388,0.002222222222222248,False
log_return_3d,-24.7166805427431,0.011111111111111127,False
ma_30,-28.373433108348536,0.015555555555555578,False
