model,reg_RMSE_mean,reg_RMSE_std,reg_MAE_mean,reg_MAE_std,reg_MAPE_mean,reg_MAPE_std,clf_accuracy_mean,clf_accuracy_std,clf_f1_mean,clf_f1_std,clf_auc_mean,clf_auc_std
Persistência ingênua,617.4718794714598,134.34426771398873,409.9869632186692,108.09097473177988,0.01560379193469466,0.0033903914975221146,0.4564341085271318,0.023071101070062973,0.44100404124334336,0.0290318180676119,0.4529534610191117,0.021645249909265873
ARIMA,618.2973006297841,134.28979029266014,406.77160843858167,107.41862730723311,0.015496800048894564,0.0033947977322665696,0.5435658914728683,0.02307110107006297,0.5433172723780771,0.026479449210194544,0.5470465389808883,0.021645249909265887
LSTM numérico puro,975.2681542184827,309.63978327232667,758.4603246667891,291.1161039603202,0.029231973448596536,0.01022703626994188,0.5120413436692507,0.05014673321657909,0.29272651477964823,0.19433159677505363,0.5431395219965209,0.03440878651557311
LSTM numérico + sentimento,1015.1930752583701,201.96788865558594,783.8173967117832,150.2916723178953,0.030699965095115318,0.008319892722959332,0.5087441860465117,0.04007575337182669,0.38229994903796033,0.18894545372973412,0.5354250854940107,0.03191257972207287
