Date,log_return_1d,log_return_3d,log_return_7d,ma_7,price_to_ma_7,ma_14,price_to_ma_14,ma_30,price_to_ma_30,volatility_7,volatility_14,rsi_14,volume_change_1d,volume_ma_7,sent_mean,sent_std,sent_median,news_count,sent_prop_negative,sent_prop_neutral,sent_prop_positive,has_news,close,target_close,target_log_return,target_direction
2021-10-12,-0.02543576350608531,0.019329362884612313,0.08421522358356076,55200.1328125,0.015234126050138297,51172.30608258928,0.09514428572561928,47709.196614583336,0.17463848839198137,0.03725776405783618,0.03613402077132235,66.39800858945692,-0.03643691307898789,39483365561.42857,0.2508179,0.0,0.2508179,1,0.0,1.0,0.0,1,56041.05859375,57401.09765625,0.023978814816483514,1
2021-10-13,0.023978814816483514,0.04689201401797086,0.036179937022733526,55491.51116071428,0.0344122273045544,52303.50139508928,0.09746185485087477,48123.79739583333,0.19277988775715182,0.027519606278661048,0.03603284578653344,68.62912781869305,0.014616331352382606,38433297363.57143,0.0,0.0,0.0,0,0.0,0.0,0.0,0,57401.09765625,57321.5234375,-0.0013872457018979745,0
2021-10-14,-0.0013872457018979745,-0.002844194391499763,0.0632914856541816,55993.73102678572,0.023713233363197528,53269.974888392855,0.07605688866187066,48464.76510416667,0.1827463377630585,0.023623628476542032,0.035543210530567824,68.34319846186449,-0.12159175416638535,38405858928.28571,0.0,0.0,0.0,0,0.0,0.0,0.0,0,57321.5234375,61593.94921875,0.0718874583745788,1
2021-10-15,0.0718874583745788,0.09447902748916442,0.13217518328459263,57083.174107142855,0.07902109828617099,54232.61830357143,0.13573622564141985,48912.01848958333,0.2592804615468387,0.03312537736401073,0.03227133905629776,74.48884086731748,0.4141461885507949,40831460053.57143,-0.8056093,0.0,-0.8056093,1,1.0,0.0,0.0,1,61593.94921875,60892.1796875,-0.011458884632588321,0
2021-10-16,-0.011458884632588321,0.05904132804009246,0.10234950574118831,57929.45368303572,0.05114368971395811,55174.09626116072,0.10363710171659801,49348.979166666664,0.23390961101441232,0.03506416998690032,0.03246712105174417,72.01579221528758,-0.3385301249883593,41082853314.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60892.1796875,61553.6171875,0.010803865067540788,1
2021-10-17,0.010803865067540788,0.07123243880953138,0.11673720712560406,58898.31640625,0.04508279596542475,56127.929408482145,0.09666645173263633,49825.182421875,0.235391707476736,0.03423095084794636,0.03245694132360923,72.92809550651091,-0.15236349814533257,39583506906.42857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61553.6171875,62026.078125,0.007646292349290159,1
2021-10-18,0.007646292349290159,0.006991272784242729,0.07603453676732186,59547.071986607145,0.04163103332688478,57050.299107142855,0.08721740456631832,50283.43958333333,0.233528943902215,0.03128443463521927,0.032558640463319626,73.5903882828671,0.3107977522184928,38928968388.85714,0.5412444,0.0,0.5412444,1,0.0,0.0,1.0,1,62026.078125,64261.9921875,0.03541344366049976,1
2021-10-19,0.03541344366049976,0.05386360107733092,0.13688374393390695,60721.49107142857,0.05830721633476732,57960.81194196428,0.10871449233397623,50850.165364583336,0.263751882157258,0.027774643555239672,0.03181142970017047,76.51816003487417,0.06347651011537447,38841459445.57143,0.2913396,0.0,0.2913396,1,0.0,1.0,0.0,1,64261.9921875,65992.8359375,0.026577834542035658,1
2021-10-20,0.026577834542035658,0.06963757055182564,0.139482763659459,61948.88225446428,0.06527888051998376,58720.19670758928,0.12385243302447524,51621.79986979167,0.27839083689366007,0.027860877473932052,0.027684474241439567,78.50473703393105,0.007851491052633719,38713559845.42857,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65992.8359375,62210.171875,-0.059027668390729156,0
2021-10-21,-0.059027668390729156,0.002963609811806238,0.08184234097062766,62647.26060267857,-0.006976980692750101,59320.495814732145,0.04871294517316227,52339.01640625,0.1886003243188814,0.04074755546553866,0.032027891221834956,65.46905036578734,0.1255037231269307,40041035560.28571,0.0,0.0,0.0,0,0.0,0.0,0.0,0,62210.171875,60692.265625,-0.02470225108270476,0
2021-10-22,-0.02470225108270476,-0.05715208493139842,-0.014747368486655912,62518.44866071428,-0.029210306314939483,59800.81138392857,0.014907059293028269,52909.60833333333,0.14709345876528745,0.03248175431676072,0.03334666855653977,61.08566912751494,-0.16280427889354077,38134464270.85714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60692.265625,61393.6171875,0.011489604888576206,1
2021-10-23,0.011489604888576206,-0.0722403145848579,0.008201121034508674,62590.08258928572,-0.01911589428051863,60259.76813616072,0.018816020811385892,53459.558984375,0.14841233923093045,0.03253857221753162,0.03323883874839785,62.3403268175063,-0.3005545054535258,37081833099.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61393.6171875,60930.8359375,-0.007566491344887265,0
2021-10-24,-0.007566491344887265,-0.02077913753901594,-0.010169235377919503,62501.11383928572,-0.025123998683023507,60699.715122767855,0.0038076095458552395,54062.59518229167,0.12704237989407585,0.0323726103057395,0.0333614678902101,60.94404956286387,0.01613083252797387,36836664009.14286,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60930.8359375,63039.82421875,0.03402727333400422,1
2021-10-25,0.03402727333400422,0.03795038687769316,0.016211745606794534,62645.93470982143,0.00628755099198508,61096.50334821428,0.03180739918060338,54740.03619791667,0.15162189500249568,0.03503458399375538,0.03221616140490259,64.81199491748325,0.13723467919946986,35837999657.57143,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63039.82421875,60363.79296875,-0.04337718610106227,0
2021-10-26,-0.04337718610106227,-0.01691640411194533,-0.06257888415476762,62089.049107142855,-0.02778680239434328,61405.27008928572,-0.016960712313802473,55311.87799479167,0.09133508311603578,0.0352847967748118,0.033900869342893394,57.08646988085216,0.12277691372156108,35039109549.14286,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60363.79296875,58482.38671875,-0.03166384386368273,0
2021-10-27,-0.03166384386368273,-0.041013756630740805,-0.12082056256048587,61016.12779017857,-0.04152575988010199,61482.50502232143,-0.048796292579201594,55853.433203125,0.0470687899535942,0.0322500430210318,0.03479346425562373,52.36088390102637,0.25167349886292945,35448841165.0,-0.94709986,0.0,-0.94709986,1,1.0,0.0,0.0,1,58482.38671875,60622.13671875,0.03593449158802419,1
2021-10-28,0.03593449158802419,-0.03910653837672092,-0.025858402581732616,60789.265625,-0.0027493160927620774,61718.26311383928,-0.017760162710144245,56506.35299479167,0.07283753960086026,0.031720823582547165,0.03597860016245008,56.74630068423525,0.036649415578635436,35355835718.85714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60622.13671875,62227.96484375,0.026144375505153635,1
2021-10-29,0.026144375505153635,0.030415023229494985,0.02498822400612587,61008.65122767857,0.019985913334177097,61763.54994419643,0.007519239097706798,57195.13971354167,0.087993930173349,0.03192938004663475,0.03108311172653093,59.741498390587765,-0.1856107569759664,35130521289.14286,-0.45240957,0.0,-0.45240957,1,0.0,1.0,0.0,1,62227.96484375,61888.83203125,-0.0054647503804892625,0
2021-10-30,-0.0054647503804892625,0.05661411671268834,0.008033868737060322,61079.396205357145,0.013252191019888615,61834.73939732143,0.0008747935942772234,57798.404296875,0.07077059971007116,0.0318714750254446,0.030943247817718407,58.815207682624425,-0.12749160877758314,35884148800.85714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61888.83203125,61318.95703125,-0.009250698649359285,0
2021-10-31,-0.009250698649359285,0.011428926475305088,0.006349661432588242,61134.842075892855,0.0030116206913330945,61817.97795758928,-0.008072423958636055,58238.471484375,0.052894340602697154,0.03195447242662131,0.03092663307420631,57.20997702061889,0.002589137071073777,36587722521.57143,0.0,0.0,0.0,0,0.0,0.0,0.0,0,61318.95703125,61004.40625,-0.005142950065019365,0
2021-11-01,-0.005142950065019365,-0.019858399094867907,-0.03282056196643526,60844.068080357145,0.002635230922283016,61745.00139508928,-0.011994414581844692,58681.56875,0.03958376624005977,0.02842240903505925,0.030863544207214266,56.29665019821619,0.12125395223662694,37314245554.28571,0.89494246,0.0,0.89494246,1,0.0,0.0,1.0,1,61004.40625,63226.40234375,0.0357758773484733,1
2021-11-02,0.0357758773484733,0.021382228634094794,0.04633250148310043,61253.01227678572,0.03221702890377154,61671.03069196428,0.025220458201104412,59182.450390625,0.06833025544622595,0.026116871285453574,0.03089673951046786,61.02954762410162,0.04415124515264934,37723916991.42857,-0.5505589200000001,0.5597694584908477,-0.5505589200000001,2,0.5,0.5,0.0,1,63226.40234375,62970.046875,-0.004062805617150114,0
